,Name,Date,Time,Category,SubCategory,Max,Min,SalesStart,SalesEnd,Status,City,State,Latitude,Longitude,Description,Currency,URL,ID,Venues
0,Charlotte Hornets vs. Phoenix Suns,2024-03-15,19:00:00,Basketball,NBA,875.0,39.0,2023-08-19 14:00:00,2024-03-16 00:30:00,onsale,Charlotte,North Carolina,35.225222,-80.839921,N/A,USD,https://www.ticketmaster.com/charlotte-hornets-vs-phoenix-suns-charlotte-north-carolina-03-15-2024/event/2D005EF1EEFA6495,G5eVZ9R6mXJ34,Spectrum Center 
1,Phoenix Suns vs. Oklahoma City Thunder,2024-03-03,19:30:00,Basketball,NBA,3870.0,54.0,2023-08-18 17:00:00,2024-03-04 03:30:00,onsale,Phoenix,Arizona,33.445899,-112.071313,"Footprint Center is now a cashless environment. Please plan on using Visa, Mastercard, American Express or Discover during your visit. Don't have a credit/debit card? Convert cash into a preloaded Mastercard by visiting one of our reverse ATMs located near the Ticket Office or Section 218! When you purchase a ticket to a Footprint Center event, you can ride the Valley Metro Light Rail at no cost for four (4) hours prior to the event through the end of the transit day. With an increased focus on secure, contactless entry, mobile tickets will be required. All tickets will be delivered electronically with no exceptions, therefore will call is no longer available. All tickets are available via the Ticketmaster app or the Suns-Mercury-Footprint Center app. Standard ticket limit is six (6). Presales and first day of general on sale ticket limit is four (4). To purchase more tickets, please call 602.379.SUNS to find out about group tickets.",USD,https://www.ticketmaster.com/phoenix-suns-vs-oklahoma-city-thunder-phoenix-arizona-03-03-2024/event/19005F0B52AA0E00,G5v0Z9Yc3nOzZ,Footprint Center
2,Milwaukee Bucks vs. Phoenix Suns,2024-03-17,12:00:00,Basketball,NBA,3930.0,76.0,2023-09-18 17:00:00,2024-03-17 18:00:00,onsale,Milwaukee,Wisconsin,43.04228,-87.916896,N/A,USD,https://www.ticketmaster.com/milwaukee-bucks-vs-phoenix-suns-milwaukee-wisconsin-03-17-2024/event/07005F1FE9F53C82,vvG1jZ9sTtWKwe,Fiserv Forum
3,Oklahoma City Thunder vs. Phoenix Suns,2024-03-29,19:00:00,Basketball,NBA,2052.0,37.0,2023-11-27 16:00:00,2024-03-30 01:00:00,onsale,Oklahoma City,Oklahoma,35.463391,-97.514594,"Full contactless mobile ticketing has been implemented for guests to use self-serve ticket scanners at all arena entrances, reducing points of contact with staff. Mobile tickets for Thunder games can be seamlessly accessed or transferred via the Thunder App or mythunderaccount.com. Tickets for the 2023-24 season for games after December 31, 2023, will be available directly from the team starting Monday, November 27 at 10 a.m. Can't wait to purchase tickets? You can purchase tickets from other fans and prices are determined by the seller and not the team. A 20% service fee for all resale tickets will be added to the cost of each ticket at checkout. Children 3 years and older require a ticket for admission.",USD,https://www.ticketmaster.com/oklahoma-city-thunder-vs-phoenix-suns-oklahoma-city-oklahoma-03-29-2024/event/0C005F101E9D6EF9,vvG1YZ9sZrEpDy,Paycom Center
4,San Antonio Spurs vs. Phoenix Suns,2024-03-23,19:00:00,Basketball,NBA,3402.0,60.0,2023-08-18 15:00:00,2024-03-24 01:30:00,onsale,San Antonio,Texas,29.4330386,-98.4337987,Ages two and up require a ticket. Doors open one hour before tip. Note that the address on the account must be from the South Central Texas region. Any accounts with an out-of-region address or a P.O. Box address may have their tickets cancelled and refunded without notice.,USD,https://www.ticketmaster.com/san-antonio-spurs-vs-phoenix-suns-san-antonio-texas-03-23-2024/event/3A005F0BB3F63F65,G5dIZ9YmSWNWP,Frost Bank Center
5,Phoenix Suns vs. Minnesota Timberwolves,2024-04-05,19:00:00,Basketball,NBA,4300.0,64.0,2023-08-18 17:00:00,2024-04-06 03:00:00,onsale,Phoenix,Arizona,33.445899,-112.071313,"Footprint Center is now a cashless environment. Please plan on using Visa, Mastercard, American Express or Discover during your visit. Don't have a credit/debit card? Convert cash into a preloaded Mastercard by visiting one of our reverse ATMs located near the Ticket Office or Section 218! When you purchase a ticket to a Footprint Center event, you can ride the Valley Metro Light Rail at no cost for four (4) hours prior to the event through the end of the transit day. With an increased focus on secure, contactless entry, mobile tickets will be required. All tickets will be delivered electronically with no exceptions, therefore will call is no longer available. All tickets are available via the Ticketmaster app or the Suns-Mercury-Footprint Center app. Standard ticket limit is six (6). Presales and first day of general on sale ticket limit is four (4). To purchase more tickets, please call 602.379.SUNS to find out about group tickets.",USD,https://www.ticketmaster.com/phoenix-suns-vs-minnesota-timberwolves-phoenix-arizona-04-05-2024/event/19005F0B52BD0E13,G5v0Z9Yc3R8zK,Footprint Center
6,Phoenix Suns vs. Atlanta Hawks,2024-03-21,19:30:00,Basketball,NBA,3870.0,34.0,2023-08-18 17:00:00,2024-03-22 03:30:00,onsale,Phoenix,Arizona,33.445899,-112.071313,"Footprint Center is now a cashless environment. Please plan on using Visa, Mastercard, American Express or Discover during your visit. Don't have a credit/debit card? Convert cash into a preloaded Mastercard by visiting one of our reverse ATMs located near the Ticket Office or Section 218! When you purchase a ticket to a Footprint Center event, you can ride the Valley Metro Light Rail at no cost for four (4) hours prior to the event through the end of the transit day. With an increased focus on secure, contactless entry, mobile tickets will be required. All tickets will be delivered electronically with no exceptions, therefore will call is no longer available. All tickets are available via the Ticketmaster app or the Suns-Mercury-Footprint Center app. Standard ticket limit is six (6). Presales and first day of general on sale ticket limit is four (4). To purchase more tickets, please call 602.379.SUNS to find out about group tickets.",USD,https://www.ticketmaster.com/phoenix-suns-vs-atlanta-hawks-phoenix-arizona-03-21-2024/event/19005F0B52B60E0C,G5v0Z9Yc3cOzG,Footprint Center
7,Phoenix Suns vs. New Orleans Pelicans,2024-04-07,15:00:00,Basketball,NBA,3870.0,54.0,2023-08-18 17:00:00,2024-04-07 23:00:00,onsale,Phoenix,Arizona,33.445899,-112.071313,"Footprint Center is now a cashless environment. Please plan on using Visa, Mastercard, American Express or Discover during your visit. Don't have a credit/debit card? Convert cash into a preloaded Mastercard by visiting one of our reverse ATMs located near the Ticket Office or Section 218! When you purchase a ticket to a Footprint Center event, you can ride the Valley Metro Light Rail at no cost for four (4) hours prior to the event through the end of the transit day. With an increased focus on secure, contactless entry, mobile tickets will be required. All tickets will be delivered electronically with no exceptions, therefore will call is no longer available. All tickets are available via the Ticketmaster app or the Suns-Mercury-Footprint Center app. Standard ticket limit is six (6). Presales and first day of general on sale ticket limit is four (4). To purchase more tickets, please call 602.379.SUNS to find out about group tickets.",USD,https://www.ticketmaster.com/phoenix-suns-vs-new-orleans-pelicans-phoenix-arizona-04-07-2024/event/19005F0B52C00E17,G5v0Z9Yc3YZz9,Footprint Center
8,San Antonio Spurs vs. Phoenix Suns,2024-03-25,19:00:00,Basketball,NBA,3202.0,27.0,2023-08-18 15:00:00,2024-03-26 01:30:00,onsale,San Antonio,Texas,29.4330386,-98.4337987,Ages two and up require a ticket. Doors open one hour before tip. Note that the address on the account must be from the South Central Texas region. Any accounts with an out-of-region address or a P.O. Box address may have their tickets cancelled and refunded without notice.,USD,https://www.ticketmaster.com/san-antonio-spurs-vs-phoenix-suns-san-antonio-texas-03-25-2024/event/3A005F0BB3F93F78,G5dIZ9YmSXKWz,Frost Bank Center
9,Sacramento Kings vs. Phoenix Suns,2024-04-12,19:30:00,Basketball,NBA,545.0,40.0,2023-08-18 19:00:00,2024-04-13 04:00:00,onsale,Sacramento,California,38.580372,-121.500231,N/A,USD,https://www.ticketmaster.com/sacramento-kings-vs-phoenix-suns-sacramento-california-04-12-2024/event/1C005F0E86111DB6,G5vYZ9YBk7oUU,Golden 1 Center
